index,level,lession,kanji,vi_1,vi_2,giai_thich,image_1,image_2
38,5,4,記,Ký,nhật ký,Tiếng nói của bản thân được viết vào nhật ký,38_image_1.png,38_image_2.png
39,5,4,汽,Khí,hơi nước,Hơi nước bốc lên từ vũng nước,39_image_1.png,39_image_2.png
40,5,4,帰,Quỳ,trở về,Sang xuân đàn chim én bay về,40_image_1.png,40_image_2.png
41,5,5,見,Kiến,nhìn,Con ma một mắt luôn nhìn mọi người,41_image_1.png,41_image_2.png
42,5,5,来,Lai,"đến, tương lai",Con thuyền đi tới tương lai,42_image_1.png,42_image_2.png
43,5,5,絵,Hội,hội hoạ,"Những sợi chỉ đan xen với nhau để tạo ra bức tranh ( tranh thêu ). t - mịch, Ê - hội",43_image_1.png,43_image_2.png
44,5,5,会,Hội,gặp gỡ,Cậu bé ngồi bàn chờ gặp bạn của mình. 人 - nhân,44_image_1.png,44_image_2.png
45,5,5,回,Hồi,"vòng, đi quanh",Vòng tròn xoáy ( vì trong hán tự không có hình tròn ),45_image_1.png,45_image_2.png
46,5,5,海,Hải,"biển, hải cảng",Bác ngư dân ra biển đánh cá,46_image_1.png,46_image_2.png
47,5,5,外,Ngoại,bên ngoài,Cậu bé bị phạt đứng bên ngoài lều,47_image_1.png,47_image_2.png
48,5,5,金,Kim,vàng,Cậu bé dùng xẻng đào xuống đất để tìm vàng,48_image_1.png,48_image_2.png
49,5,5,近,Cận,gần,"Cậu bé đứng gần hẻm núi, đón gió biển",49_image_1.png,49_image_2.png
50,5,5,今,Kim,Bây giờ,Chiếc đồng hồ chỉ thời gian bây giờ,50_image_1.png,50_image_2.png
51,5,6,間,Gian,"ở giữa, trung gian",Mặt trời mọc ở giữa cánh cửa,51_image_1.png,51_image_2.png
52,5,6,角,Giác,"góc, sừng",Giống chiếc sừng,52_image_1.png,52_image_2.png
53,5,6,活,Hoạt,sinh hoạt,"1000 người cùng uống nước trên cùng 1 dòng sông, gọi là sinh hoạt. chung ( 千: nghìn )",53_image_1.png,53_image_2.png
54,5,6,教,Giáo,"giáo dục, giáo viên",“ Nghề giáo là nghề gõ đầu trẻ ”,54_image_1.png,54_image_2.png
55,5,6,強,Cường,cường lực,Dùng sức mạnh của mình để dương cung bắn thủng thùng gỗ,55_image_1.png,55_image_2.png
56,5,6,兄,Huynh,anh trai,Anh trai luôn to tiếng quát em,56_image_1.png,56_image_2.png
57,5,6,京,Kinh,kinh đô,Ba người từ bên ngoài đi vào kinh đô,57_image_1.png,57_image_2.png
58,5,6,原,Nguyên,cánh đồng,Bóng ma bay trên cánh đồng,58_image_1.png,58_image_2.png
59,5,6,言,Ngôn,ngôn ngữ,Cậu bé có cái miệng xấu hay nói,59_image_1.png,59_image_2.png
60,5,6,元,Nguyên,nguồn gốc,Hai người con trai và gái là nguồn gốc của sự phát triển. )L - nhân đi,60_image_1.png,60_image_2.png
61,5,7,計,Kế,kế hoạch,Lên kế hoạch của bản thân bằng việc liệt kê các đầu mục và ghi chú,61_image_1.png,61_image_2.png
62,5,7,形,Hình,hình dạng,Hình dạng của chiếc cổng Torii ở Nhật Bản được nắng chiếu vào,62_image_1.png,62_image_2.png
63,5,7,国,Quốc,quốc gia,Người mang bảo ngọc là vua của một quốc gia,63_image_1.png,63_image_2.png
64,5,7,谷,Cốc,thung lũng,Có một cái hồ ở giữa thung lũng,64_image_1.png,64_image_2.png
65,5,7,黒,Hắc,màu đen,Vùng đất ruộng bị lửa đốt cháy sẽ có màu đen,65_image_1.png,65_image_2.png
66,5,7,顔,Nhan,khuôn mặt,Người mặc đồ samurai soi gương để thấy khuôn mặt của mình,66_image_1.png,66_image_2.png
67,5,7,岩,Nham,đất đá,Đất đá từ trên núi lăn xuống,67_image_1.png,67_image_2.png
68,5,7,丸,Hoàn,hình tròn,Số 10 là số tròn trĩnh,68_image_1.png,68_image_2.png
69,5,7,古,Cổ,Cổ xưa,"Vùng đất cổ xưa, nơi có những ngôi mộ cũ",69_image_1.png,69_image_2.png
70,5,7,戸,Hộ,Cái cửa,Cánh cửa căn phòng,70_image_1.png,70_image_2.png
71,5,8,ロ,Khẩu,cái mồm,Cái miệng,71_image_1.png,71_image_2.png
72,5,8,校,Hiệu,trường học,Người hay đứng dưới gốc cây quan sát học sinh trong trường là hiệu trưởng,72_image_1.png,72_image_2.png
73,5,8,広,Quảng,rộng,Cậu bé bị bố phạt quỳ trong căn phòng rộng,73_image_1.png,73_image_2.png
74,5,8,交,Giao,cắt nhau,Người làm động tác vắt chéo mái chèo để chèo thuyền,74_image_1.png,74_image_2.png
75,5,8,エ,Công,công trường,Biển báo hiệu có công trường,75_image_1.png,75_image_2.png
76,5,8,光,Quang,ánh sáng,Giống hình ánh sáng,76_image_1.png,76_image_2.png
77,5,8,公,Công,công cộng,Giống ông Công Công trong phim Trung Quốc,77_image_1.png,77_image_2.png
78,5,8,考,Khảo,suy nghĩ,Vì ham chơi nên bị bố bắt nằm đất đánh và bắt suy nghĩ về hành động của mình,78_image_1.png,78_image_2.png
79,5,8,行,Hành,lữ hành,Cậu bé tham gia hành trình đi bộ,79_image_1.png,79_image_2.png
80,5,8,高,Cao,chiều cao,Căn nhà nhiều tầng và rất cao,80_image_1.png,80_image_2.png
81,5,9,黄,Hoàng,màu vàng,Chảo đuốc trong hoàng cung làm bằng vàng,81_image_1.png,81_image_2.png
82,5,9,合,Hợp,Phù hợp,Nồi và vung phù hợp với nhau. Nồi nào úp vung nấy,82_image_1.png,82_image_2.png
83,5,9,左,Tả,bên trái,Người thuận não trái sẽ chơi trò xếp hình kém,83_image_1.png,83_image_2.png
84,5,9,作,Tác,sáng tác,Hai người nằm trên chiếc giường sẽ “sáng tác” ra em bé,84_image_1.png,84_image_2.png
85,5,9,三,Tam,số 3,3 que diêm,85_image_1.png,85_image_2.png
86,5,9,山,Sơn,núi,Giống hình quả núi,86_image_1.png,86_image_2.png
87,5,9,算,Toán,toán học,Người đang tính toán trên bàn tính gẩy Soroban làm bằng trúc. (17-trúc ),87_image_1.png,87_image_2.png
88,5,9,細,Tế,Mỏng,Cuộn chỉ với những sợi chỉ mỏng,88_image_1.png,88_image_2.png
89,5,9,才,Tài,"tuổi, thiên tài",Tách chữ 才 thành các chữ ghép thành chữ TÀI,89_image_1.png,89_image_2.png
90,5,9,四,Tứ,số 4,"Người tù nhân ở trong nhà giam, đối diện với 4 bức tường",90_image_1.png,90_image_2.png
91,5,10,矢,Thỉ,mũi tên,Mũi tên có mũi bằng sắt và cán tên làm bằng lông phượng,91_image_1.png,91_image_2.png
92,5,10,姉,Tỉ,Chị gái,Chị gái đến tuổi sẽ đến kinh đô để lấy chồng,92_image_1.png,92_image_2.png
93,5,10,子,Tử,con,Đứa bé đang ngồi,93_image_1.png,93_image_2.png
94,5,10,系,Mịch,sợi tơ,Cuộn chỉ,94_image_1.png,94_image_2.png
95,5,10,紙,Chỉ,tờ giấy,Tờ giấy mỏng như chỉ và người ta viết họ tên của mình vào đó,95_image_1.png,95_image_2.png
96,5,10,市,Thị,Thành phố,Cậu bé đứng dưới thành phố rộng lớn,96_image_1.png,96_image_2.png
97,5,10,止,Chỉ,"dừng lại, chỉ định",Ông bố dừng lại chỉ cho con về những gì phía trước,97_image_1.png,97_image_2.png
98,5,10,思,Tư,suy nghĩ,"Người nông dân dồn tâm tư (心) vào đồng ruộng(田), nên người ta hay suy nghĩ nhiều",98_image_1.png,98_image_2.png
99,5,10,七,Thất,số 7,Xoay ngược chữ 七 ta sẽ được số 7,99_image_1.png,99_image_2.png
100,5,10,室,Thất,phòng,Phòng ngủ có một chiếc bàn trên nền đất,100_image_1.png,100_image_2.png
101,5,11,字,Tự,chữ,Đứa trẻ đang ngồi trong lớp viết chữ,101_image_1.png,101_image_2.png
102,5,11,耳,Nhĩ,tai,Cái tai,102_image_1.png,102_image_2.png
103,5,11,自,Tự,bản thân,Mỗi một người đều có đường vân tay khác nhau,103_image_1.png,103_image_2.png
104,5,11,時,Thời,thời gian,Tách chữ 時 ra ta có được các chữ cái của chữ THỜI,104_image_1.png,104_image_2.png
105,5,11,寺,Tự,chùa,Chùa là nơi có nhiều tiếng chuông vang,105_image_1.png,105_image_2.png
106,5,11,車,Xa,Xe,Chiếc xe thồ,106_image_1.png,106_image_2.png
107,5,11,社,Xã,đền thờ,đền thờ ở Nhật Bản,107_image_1.png,107_image_2.png
108,5,11,十,Thập,Số 10,10 thanh kiếm,108_image_1.png,108_image_2.png
109,5,11,手,Thủ,tay,Bài tay đang xòe ra,109_image_1.png,109_image_2.png
110,5,11,首,Thủ,"cái cổ, thủ tướng",Đầu của chiến binh Samurai,110_image_1.png,110_image_2.png
111,5,12,週,chu,tuân,Tách chữ 週 thành các chữ cái ghép thành chữ: CHU,111_image_1.png,111_image_2.png
112,5,12,秋,Thu,mùa thu,"Mùa thu lá vàng rơi, rất dễ bắt lửa dẫn đến cháy rừng",112_image_1.png,112_image_2.png
113,5,12,書,Thư,sách,Tay cầm bút viết lên chữ H lên trang sách,113_image_1.png,113_image_2.png
114,5,12,小,Tiểu,nhỏ,Chú tiểu nhỏ đang ngồi,114_image_1.png,114_image_2.png
115,5,12,正,Chính,chính xác,Cái chính giữa của con trai,115_image_1.png,115_image_2.png
116,5,12,少,Thiểu,"Ít, thiểu số","Chỉ có một đứa trẻ, dân số bây giờ rất ít trẻ con",116_image_1.png,116_image_2.png
117,5,12,女,Nữ,con gái,Người con gái đang nhảy múa,117_image_1.png,117_image_2.png
118,5,12,上,Thượng,bên trên,Cây cổ thụ mọc trên mặt đất,118_image_1.png,118_image_2.png
119,5,12,場,Trường,công trường,Ngày xưa trâu bò kéo những vật nặng trong công trường,119_image_1.png,119_image_2.png
120,5,12,食,Thực,thực phẩm,Người đứng cạnh nồi làm bánh bao,120_image_1.png,120_image_2.png
121,5,13,色,Sắc,màu sắc,Con bọ nhiều màu đậu ở cành cây,121_image_1.png,121_image_2.png
122,5,13,出,Xuất,xuất ngoại,Mũi tên hướng xuống dưới thể hiện sự xuất ra,122_image_1.png,122_image_2.png
123,5,13,森,Sâm,rừng sâu,Rừng sâu luôn có nhiều cây cối che phủ,123_image_1.png,123_image_2.png
124,5,13,新,Tân,mới,Người cầm rìu chặt cây về làm ngôi làng mới,124_image_1.png,124_image_2.png
125,5,13,親,Thân,người thân,Đứa bé trèo lên cây bị người thân bắt về,125_image_1.png,125_image_2.png
126,5,13,心,Tâm,trái tim,Trái tim đập rộn ràng khi ta có chuyện vui,126_image_1.png,126_image_2.png
127,5,13,人,Nhân,người thân,Người đang dạng chân,127_image_1.png,127_image_2.png
128,5,13,春,Xuân,mùa xuân,"300 người đi chơi xuân. 三: tam - số 3, 人: nhân - người",128_image_1.png,128_image_2.png
129,5,13,頭,Đầu,cái đầu,Đầu của chiến binh samurai. 豆 ( đậu ): thể hiện âm đọc. 頁 ( hiệt ): thể hiện ý nghĩa,129_image_1.png,129_image_2.png
130,5,13,里,Lý,Hải lý,Biển báo hải lý,130_image_1.png,130_image_2.png
131,5,14,弱,Nhược,yếu,Hai cây cung bị đứt dây trở nên yếu,131_image_1.png,131_image_2.png
132,5,14,水,Thuỷ,nước,Những giọt nước đang rơi,132_image_1.png,132_image_2.png
133,5,14,数,Số,đếm,Lọ Lem bị mẹ kế bắt nhặt đậu ra khỏi bãi gạo. Á - phộc ( thao tác nhẹ nhàng ),133_image_1.png,133_image_2.png
134,5,14,西,Tây,phía tây,Người phương tây độc ác giẫm lên miệng người khác,134_image_1.png,134_image_2.png
135,5,14,生,Sinh,học sinh,Học sinh là mầm non của đất nước,135_image_1.png,135_image_2.png
136,5,14,青,Thanh,màu xanh,Ánh trăng soi xuống mặt nước xanh hiện bóng vàng,136_image_1.png,136_image_2.png
137,5,14,星,Tinh,ngôi sao,Ngôi sao phía trên một cây non,137_image_1.png,137_image_2.png
138,5,14,声,Thanh,âm thanh,Cậu bé đánh trống,138_image_1.png,138_image_2.png
139,5,14,晴,Tình,trời nắng,"Trời nắng sớm khiến trăng chưa kịp lặn, lúc đó ta có thể vừa thấy mặt trời vừa thấy mặt trăng",139_image_1.png,139_image_2.png
140,5,14,赤,Xích,màu đỏ,Nung đỏ cục đất trong ngọn lửa đỏ để làm gạch,140_image_1.png,140_image_2.png
141,5,15,石,Thạch,đá,Phiến đá cạnh ngọn núi,141_image_1.png,141_image_2.png
142,5,15,タ,Tịch,chiều tồi,"Buổi chiều tối , có thể nhìn thầy mặt trăng",142_image_1.png,142_image_2.png
143,5,15,雪,Tuyết,bông tuyết,Dang tay ra ngoài cửa số để với lấy những bông tuyết đầu đông,143_image_1.png,143_image_2.png
144,5,15,切,Thiết,cắt,Cắt thanh tre ra làm 7 khúc,144_image_1.png,144_image_2.png
145,5,15,千,Thiên,1 nghìn,"Tách chữ 千 ra , ta có được các chữ cái ghép thành chữ TH",145_image_1.png,145_image_2.png
146,5,15,先,Tiên,"trước, tiên sinh",Cái cây đã có ở đó trước khi tôi sinh ra,146_image_1.png,146_image_2.png
147,5,15,川,Xuyên,sông,Dòng sông xanh,147_image_1.png,147_image_2.png
148,5,15,船,Thuyền,cái thuyền,Hai chiếc thuyền đang đua nhau trên sông,148_image_1.png,148_image_2.png
149,5,15,線,Tuyến,tuyến đường,Những tuyến đường sông suối chăng chịt như những sợi chỉ,149_image_1.png,149_image_2.png
150,5,15,前,Tiền,"phía trước,trước kia",Phía trước của người đầu bếp có miếng thịt và con dao,150_image_1.png,150_image_2.png
151,5,16,早,Tảo,sớm,Mặt trời buổi sớm mọc qua các cây cỏ,151_image_1.png,151_image_2.png
152,5,16,走,Tẩu,chạy,Chạy cắt qua gió,152_image_1.png,152_image_2.png
153,5,16,組,Tổ,"nhóm, tổ chức",Dùng chỉ buộc 3 chiếc hộp thành một nhóm thẳng đứng,153_image_1.png,153_image_2.png
154,5,16,足,Túc,chân,Cô bé ngồi đưa chân về trước,154_image_1.png,154_image_2.png
155,5,16,村,Thôn,thôn làng,Cưa cây về xây thôn làng,155_image_1.png,155_image_2.png
156,5,16,図,Đồ,bản đồ,Tấm bản đồ,156_image_1.png,156_image_2.png
157,5,16,理,Lý,"vật lý, xử lý","Biển báo: đang có đá lở, chúng tôi đang xử lý",157_image_1.png,157_image_2.png
158,5,16,話,Thoại,hội thoại,1000 người nói hội thoại với nhau,158_image_1.png,158_image_2.png
159,5,16,体,Thể,cơ thể,Cơ thể cường tráng của người đàn ông cầm rìu chặt ngang thân cây,159_image_1.png,159_image_2.png
160,5,16,太,Thái,béo,Người béo căng bụng,160_image_1.png,160_image_2.png
161,5,17,大,Đại,lớn,Chàng trai dang rộng tay,161_image_1.png,161_image_2.png
162,5,17,台,Đài,vũ đài,Vũ đài là nơi để thờ các võ sĩ tranh đầu,162_image_1.png,162_image_2.png
163,5,17,弟,Đệ,em trai,Em trai hay bị bắt đi quét lá ven đường,163_image_1.png,163_image_2.png
164,5,17,多,Đa,nhiều,Hai thanh đao là số nhiều,164_image_1.png,164_image_2.png
165,5,17,男,Nam,con trai,"Công việc ngoài đồng ruộng rất nặng nhọc, phù hợp cho nam giới. 力: Lực - người nông dân",165_image_1.png,165_image_2.png
166,5,17,竹,Trúc,cây trúc,Cành trúc,166_image_1.png,166_image_2.png
167,5,17,土,Thổ,đất,Vùng đất được cắm cọc làm mốc,167_image_1.png,167_image_2.png
168,5,17,読,Độc,đọc,Cậu bé ngồi trên bàn đọc bảng chữ cái,168_image_1.png,168_image_2.png
169,5,17,虫,Trùng,côn trùng,Chú sâu lá,169_image_1.png,169_image_2.png
170,5,17,中,Trung,Ở giữa,Vạch giữa sân bóng,170_image_1.png,170_image_2.png
171,5,18,昼,Trú,buổi trưa,"Khi mặt trời lên đến giữa, ta sẽ vào nhà để trú",171_image_1.png,171_image_2.png
172,5,18,直,Trực,"sửa chữa, trực tiếp",Trực thăng hạ cánh xuống cửa hàng sửa chữa,172_image_1.png,172_image_2.png
173,5,18,通,Thông,giao thông,Người tham gia giao thông,173_image_1.png,173_image_2.png
174,5,18,長,Trường,dài,Cô gái có mái tóc dài,174_image_1.png,174_image_2.png
175,5,18,朝,Triều,buổi sáng,"Vào buổi sáng sớm, ta vẫn nhìn thấy cả mặt trời và mặt trăng",175_image_1.png,175_image_2.png
176,5,18,町,Đinh,thị trấn,Đường đến thị trấn phải đi qua cánh đồng,176_image_1.png,176_image_2.png
177,5,18,鳥,Điểu,con chim,Con chim đang vỗ cánh,177_image_1.png,177_image_2.png
178,5,18,茶,Trà,trà đạo,Người đang pha trà đạo,178_image_1.png,178_image_2.png
179,5,18,天,Thiên,trời,Ông trời là to ( 大 ) nhất ( 一 ),179_image_1.png,179_image_2.png
180,5,18,点,Điểm,"điểm số, trọng điểm",Con dấu,180_image_1.png,180_image_2.png
181,5,19,店,Điếm,cửa hàng,Trước cửa hàng có 1 biển quảng cáo giảm giá,181_image_1.png,181_image_2.png
182,5,19,田,Điền,ruộng,Ruộng được chia thành từng miếng hình vuông,182_image_1.png,182_image_2.png
183,5,19,電,Điện,điện thoại,Sét đánh xuống cánh đồng,183_image_1.png,183_image_2.png
184,5,19,池,Trì,cái ao,Người ngồi dưới ao câu cá,184_image_1.png,184_image_2.png
185,5,19,地,Địa,"đất, địa cầu",Tách chữ 1 ra thành các chữ cái ghép thành chữ : DIA,185_image_1.png,185_image_2.png
186,5,19,知,Tri,"tri thức, hiểu biết",Học sinh tri thức sẽ đạt điểm cao trong kỳ thi,186_image_1.png,186_image_2.png
187,5,19,道,Đạo,đường,Kiếm sĩ treo đầu đối thủ ngoài đường,187_image_1.png,187_image_2.png
188,5,19,同,Đồng,giống nhau,Hai hình tròn đồng tâm,188_image_1.png,188_image_2.png
189,5,19,冬,Đông,mùa đông,Chiếc cào tuyết mùa đông,189_image_1.png,189_image_2.png
190,5,19,刀,Đao,đao kiếm,Chiếc đao sắc bén,190_image_1.png,190_image_2.png
191,5,20,当,Đương,mục tiêu,Mũi tên bắn trúng mục tiêu,191_image_1.png,191_image_2.png
192,5,20,答,Đáp,"trả lời, đáp án",Cậu bé ngồi trả lời đáp án cười KAKA,192_image_1.png,192_image_2.png
193,5,20,東,Đông,phía đông,"Mặt trời mọc ở phía đông, phía sau cây cổ thụ",193_image_1.png,193_image_2.png
194,5,20,ニ,Nhị,số 2,Hai que diêm,194_image_1.png,194_image_2.png
195,5,20,日,Nhật,mặt trời,Mặt trời trong chữ cái Nhật sẽ là hình vuông,195_image_1.png,195_image_2.png
196,5,20,入,Nhập,"vào trong, nhập khẩu","Mũi tên hướng lên trên , biểu tượng cho sự sáp nhập",196_image_1.png,196_image_2.png
197,5,20,年,Niên,năm,chữ 年 được tách ra thành các chữ cái T và N : Tất Niên,197_image_1.png,197_image_2.png
198,5,20,肉,Nhục,thịt,Miếng thịt với các đường gân,198_image_1.png,198_image_2.png
199,5,20,内,Nội,"nội dung, bên trong",Cậu bé bên trong bốn bức tường. 人 - ( nhân ),199_image_1.png,199_image_2.png
200,5,20,南,Nam,phía nam,Phía nam là nơi con người có rất nhiều tiền,200_image_1.png,200_image_2.png
201,5,21,白,Bạch,màu trắng,Búp bê cầu nắng Tezu Tezu Bouzu Nhật Bản,201_image_1.png,201_image_2.png
202,5,21,八,Bát,số 8,8 cái bát úp lên nhau,202_image_1.png,202_image_2.png
203,5,21,百,Bách,số 100,Số 100,203_image_1.png,203_image_2.png
204,5,21,本,Bản,"sách, Nhật Bản",Chặt cây để lấy gỗ làm ra sách,204_image_1.png,204_image_2.png
205,5,21,番,Phiên,lần lượt,Cắt lúa lần lượt thành từng bó trên ruộng,205_image_1.png,205_image_2.png
206,5,21,父,Phụ,cha,Khuôn mặt cha với nhiều những nếp nhăn vì sương gió,206_image_1.png,206_image_2.png
207,5,21,風,Phong,gió,Sâu bám chắc vào lá cây khi có gió thôi,207_image_1.png,207_image_2.png
208,5,21,分,Phân,phân chia,Dùng dao chặt đôi thanh tre,208_image_1.png,208_image_2.png
209,5,21,聞,"Văn, vấn","nghe, nói",Áp tai vào cánh cửa để nghe lỏm lớp học,209_image_1.png,209_image_2.png
210,5,21,半,Bán,một nửa,Dùng tay chặt cục gạch thành 2 nửa,210_image_1.png,210_image_2.png
211,5,22,馬,Mã,con ngựa,Con ngựa đang quay đầu lại,211_image_1.png,211_image_2.png
212,5,22,麦,Mạch,lúa mạch,Người đang phơi thóc ngoài sân và cầm Cào đi vòng quanh để đảo thóc,212_image_1.png,212_image_2.png
213,5,22,買,Mãi,mua,Con gái mua đồ bằng mắt,213_image_1.png,213_image_2.png
214,5,22,売,Mại,bán,Người ngồi bàn bán đồ vỉa hè,214_image_1.png,214_image_2.png
215,5,22,米,Mễ,gạo,Cây lúa trĩu hạt,215_image_1.png,215_image_2.png
216,5,22,歩,Bộ,"đường bộ, đi bộ",Ông bố và con đi bộ trên đường,216_image_1.png,216_image_2.png
217,5,22,方,Phương,phương hướng,Người đứng dang tay về hai hướng để chỉ dẫn,217_image_1.png,217_image_2.png
218,5,22,北,Bắc,phía bắc,Phía bắc rất lạnh nên hai người quay về 2 hướng đông tây để sưởi ấm,218_image_1.png,218_image_2.png
219,5,22,母,Mẫu,mẹ,Mẹ luôn có một chiếc tạp dề trong bếp,219_image_1.png,219_image_2.png
220,5,22,名,Danh,"tên, danh nhân",Ngày xưa khi người ta chết đi thì tên của họ sẽ được khắc trên đá,220_image_1.png,220_image_2.png
221,5,23,鳴,Minh,kêu réo,Chú chim kêu réo khi đang đói,221_image_1.png,221_image_2.png
222,5,23,明,Minh,sáng suốt,Vào buổi sáng sớm ta có thể nhìn cả mặt trời và mặt trăng,222_image_1.png,222_image_2.png
223,5,23,文,Văn,"văn hoá, văn học",Người có văn hay võ tốt sẽ được mặc đồ trạng nguyên,223_image_1.png,223_image_2.png
224,5,23,門,Môn,cái cửa,Cánh cửa màu xanh đang mở ra,224_image_1.png,224_image_2.png
225,5,23,毎,Mỗi,mỗi ngày,Ngày qua ngày,225_image_1.png,225_image_2.png
226,5,23,妹,Muội,em gái,Em gái đứng cạnh cành cây non,226_image_1.png,226_image_2.png
227,5,23,万,Vạn,1 vạn,Dùng dao chém 1 vạn nhát,227_image_1.png,227_image_2.png
228,5,23,毛,Mao,lông,Chiếc lông vũ của một chú công,228_image_1.png,228_image_2.png
229,5,23,木,Mộc,cây,Cây xanh,229_image_1.png,229_image_2.png
230,5,23,目,Mục,mắt,Con mắt,230_image_1.png,230_image_2.png
231,5,24,野,Dã,hoang dã,Người thổ dân hoang dã chạy trên đồng ruộng,231_image_1.png,231_image_2.png
232,5,24,夜,Dạ,buổi tối,Người ngắm trăng vào buổi tối,232_image_1.png,232_image_2.png
233,5,24,曜,Diệu,ngày,"Vào ban ngày , đàn chim bay đi tìm kiếm thức ăn",233_image_1.png,233_image_2.png
234,5,24,用,Dụng,sử dụng,Sử dụng vỉ để đập ruồi,234_image_1.png,234_image_2.png
235,5,24,右,Hữu,bên phải,"Xoay chữ 右 , sẽ giống chữ P : Phải",235_image_1.png,235_image_2.png
236,5,24,友,Hữu,bạn hữu,Biểu tượng tay bắt chéo của bạn bè,236_image_1.png,236_image_2.png
237,5,24,力,Lực,năng lực,Thể hiệu sự cơ bắp,237_image_1.png,237_image_2.png
238,5,24,立,Lập,đứng,Người đứng dang chân,238_image_1.png,238_image_2.png
239,5,24,林,Lâm,rừng,Khu rừng có nhiều cây,239_image_1.png,239_image_2.png
240,4,1,悪,Ác,ác nhân,Tù nhân nằm sau song sắt nhà tù,240_image_1.png,240_image_2.png
